Location,Site_Name,Latitude,Longitude,Solar_GW,Wind_GW,Battery_GWh,System_Capacity_Factor,LCOE_USD_per_MWh,Annual_Load_MWh,Energy_Served_MWh,Unmet_Load_MWh,Overproduction_MWh
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,4.00,0.0012,41857.65,8760000.00,10618.48,8749381.52,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,5.00,0.0013,40069.11,8760000.00,11092.83,8748907.17,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,6.00,0.0013,38427.28,8760000.00,11567.17,8748432.83,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,7.00,0.0014,36914.81,8760000.00,12041.51,8747958.49,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,8.00,0.0014,35516.98,8760000.00,12515.85,8747484.15,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,9.00,0.0015,34221.23,8760000.00,12990.19,8747009.81,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,10.00,0.0015,33016.78,8760000.00,13464.53,8746535.47,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,11.00,0.0016,31894.28,8760000.00,13938.88,8746061.12,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,12.00,0.0016,30845.68,8760000.00,14413.22,8745586.78,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,13.00,0.0017,29863.91,8760000.00,14887.56,8745112.44,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,14.00,0.0018,28942.77,8760000.00,15361.90,8744638.10,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,6.00,0.00,15.00,0.0018,28076.80,8760000.00,15836.24,8744163.76,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,1.00,0.0012,48688.86,8760000.00,10648.98,8749351.02,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,2.00,0.0013,46613.94,8760000.00,11123.32,8748876.68,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,3.00,0.0013,44708.75,8760000.00,11597.66,8748402.34,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,4.00,0.0014,42953.28,8760000.00,12072.00,8747928.00,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,5.00,0.0014,41330.52,8760000.00,12546.35,8747453.65,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,6.00,0.0015,39826.02,8760000.00,13020.69,8746979.31,0.00
Lat21.03_Lon105.83,site_1_Hanoi_Vietnam,21.0278,105.8342,7.00,0.00,7.00,0.0015,38427.29,8760000.00,13495.03,8746504.97,0.00
